,destination_id_YKR_1,On-site workers_1,index_YKR_1,_merge_1,destination_id_YKR_2,On-site workers_2,index_YKR_2,_merge_2,absolute_change,percentage_change,geometry
62,749140.0,29.14,42332588,both,749140.0,35.0,42332588,both,5.859999999999999,0.2010981468771448,"POLYGON ((24.654632963405795 60.139414088095165, 24.654473209135087 60.14165697429566, 24.658970785947677 60.14173657199507, 24.659130234570334 60.13949367861466, 24.654632963405795 60.139414088095165))"
63,749141.0,8.89,42365098,both,749141.0,11.0,42365098,both,2.1099999999999994,0.23734533183352072,"POLYGON ((24.659130234570334 60.13949367861466, 24.658970785947677 60.14173657199507, 24.663468388055257 60.141816017065146, 24.66362753102422 60.139573116518584, 24.659130234570334 60.13949367861466))"
64,749142.0,36.03,42367270,both,749142.0,39.0,42367270,both,2.969999999999999,0.08243130724396333,"POLYGON ((24.66362753102422 60.139573116518584, 24.663468388055257 60.141816017065146, 24.667966015409473 60.14189530950424, 24.668124852719103 60.139652401805236, 24.66362753102422 60.139573116518584))"
65,749143.0,30.78,42367650,both,749143.0,34.0,42367650,both,3.219999999999999,0.10461338531513965,"POLYGON ((24.668124852719103 60.139652401805236, 24.667966015409473 60.14189530950424, 24.672463667961978 60.14197444931058, 24.672622199606646 60.139731534472865, 24.668124852719103 60.139652401805236))"
66,749144.0,19.509999999999998,42368726,both,749144.0,23.0,42368726,both,3.490000000000002,0.17888262429523333,"POLYGON ((24.672622199606646 60.139731534472865, 24.672463667961978 60.14197444931058, 24.676961345664413 60.142053436482534, 24.677119571638507 60.13981051451986, 24.672622199606646 60.139731534472865))"
67,749145.0,21.27,42997426,both,749145.0,23.0,42997426,both,1.7300000000000004,0.08133521391631408,"POLYGON ((24.677119571638507 60.13981051451986, 24.676961345664413 60.142053436482534, 24.681459048468433 60.14213227101834, 24.681616968766342 60.13988934194445, 24.677119571638507 60.13981051451986))"
68,749146.0,0.9,42375215,both,749146.0,2.0,42375215,both,1.1,1.2222222222222223,"POLYGON ((24.681616968766342 60.13988934194445, 24.681459048468433 60.14213227101834, 24.685956776325668 60.142210952916365, 24.6861143909418 60.13996801674497, 24.681616968766342 60.13988934194445))"
69,749147.0,1.77,42313309,both,749147.0,2.0,42313309,both,0.22999999999999998,0.12994350282485875,"POLYGON ((24.6861143909418 60.13996801674497, 24.685956776325668 60.142210952916365, 24.69045452918777 60.14228948217488, 24.690611838116542 60.14004653891973, 24.6861143909418 60.13996801674497))"
70,749148.0,1.42,42376119,both,749148.0,2.0,42376119,both,0.5800000000000001,0.4084507042253522,"POLYGON ((24.690611838116542 60.14004653891973, 24.69045452918777 60.14228948217488, 24.69495230700638 60.14236785879223, 24.695109310242213 60.14012490846703, 24.690611838116542 60.14004653891973))"
71,749212.0,0.93,42702753,both,749212.0,1.0,42702753,both,0.06999999999999995,0.07526881720430102,"POLYGON ((24.978498242154362 60.1447544217132, 24.978360508339062 60.14699778974489, 24.98285978271043 60.14706639396792, 24.982997210498503 60.144823019745964, 24.978498242154362 60.1447544217132))"
